year,scope,model,n,actual_rate,mean_pred,brier,log_loss,ece10,auc,brier_ci_low,brier_ci_high,logloss_ci_low,logloss_ci_high
2024,all,M0_iid,4419,0.398959040506902,0.2860479917548174,0.22778212747507756,0.6505953505096698,0.1129110487520847,0.6875256271825817,,,,
2024,all,M1_p_only,4419,0.398959040506902,0.4153484035946591,0.21431577550785486,0.6187132683897588,0.022390782005610153,0.6875256271825817,,,,
2024,all,M2_team_shape,4419,0.398959040506902,0.41314953644339875,0.21374550868492398,0.6173723045038748,0.018627713385507203,0.6891499634385528,,,,
2024,all,M3_team_style,4419,0.398959040506902,0.41284510419005443,0.21380785296875954,0.6175556875679449,0.024830233257284978,0.6887691862173595,,,,
2024,all,M4_player,4419,0.398959040506902,0.4141774489346051,0.21428266776542146,0.6186326060955236,0.02559263642538453,0.687504271197097,,,,
2024,all,M5_combined,4419,0.398959040506902,0.4112912252934173,0.21345971807284383,0.6167812620174873,0.01806750216688365,0.6896819410369783,,,,
2024,p>=0.70,M0_iid,2535,0.5029585798816568,0.37070250553546225,0.24995523909046577,0.6946132171742998,0.13225607434619455,0.6570712729536259,,,,
2024,p>=0.70,M1_p_only,2535,0.5029585798816568,0.5275064126135042,0.23215683574470616,0.656686022874077,0.032867239522643116,0.6570712729536259,,,,
2024,p>=0.70,M2_team_shape,2535,0.5029585798816568,0.525581816829482,0.2315726446986949,0.655295028134666,0.02643498402596261,0.6588297541238718,,,,
2024,p>=0.70,M3_team_style,2535,0.5029585798816568,0.5243802869775258,0.23141909269789995,0.6550475318808157,0.026463926560560996,0.6596775599128539,,,,
2024,p>=0.70,M4_player,2535,0.5029585798816568,0.5256291707478573,0.2320148306213176,0.6563617489697211,0.02673465859871342,0.6569063180827887,,,,
2024,p>=0.70,M5_combined,2535,0.5029585798816568,0.5228388428328815,0.2309850037390301,0.6539833488609433,0.021988265929747487,0.6605658263305323,,,,
2024,p>=0.80,M0_iid,1588,0.5881612090680101,0.43399212888644434,0.25664856833189825,0.7071396705274035,0.1541690801815658,0.6194608700207584,,,,
2024,p>=0.80,M1_p_only,1588,0.5881612090680101,0.6007154154282496,0.23251965529222432,0.6572317508953699,0.025834871482825816,0.6194608700207584,,,,
2024,p>=0.80,M2_team_shape,1588,0.5881612090680101,0.5988296037746366,0.23155141813284683,0.6549119984058897,0.015698759379477508,0.6233882744304526,,,,
