favorite_match_win_probability,implied_iid_set_win_probability,iid_sweep_probability,iid_sweep_given_win
0.55,0.5267174806301081,0.1461279177021923,0.26568712309489506
0.6,0.5537459025135386,0.16979761153904493,0.28299601923174156
0.7,0.6101816494690416,0.22718383569193415,0.3245483367027631
0.8,0.6734020621585889,0.3053678602786618,0.38170982534832726
0.85,0.7100822089108982,0.3580353389316967,0.4212180458019961
0.9,0.7533635467115337,0.42757647838360036,0.4750849759817782
0.95,0.8107446225620154,0.5329079883461869,0.5609557772065126
0.99,0.8943601564492093,0.7153808819356129,0.722606951450114
