p_bin,n,mean_win_probability,actual_favorite_win_rate,actual_sweep_rate,sweep_given_win,iid_sweep,p_only_sweep,combined_sweep
50–60%,665,0.5499588885656441,0.5684210526315789,0.24360902255639097,0.42857142857142855,0.14650332006628214,0.21212764260784844,0.20991451059465513
60–70%,692,0.6490997124478465,0.6242774566473989,0.20809248554913296,0.3333333333333333,0.19670769960156254,0.2844432490210614,0.28184664293154177
70–80%,689,0.752789317299341,0.7285921625544267,0.32801161103047893,0.450199203187251,0.26612262306122203,0.37813407236002666,0.37345682471026126
80–90%,803,0.8520481433899951,0.8331257783312578,0.44333748443337484,0.5321375186846039,0.3633542493312372,0.4973277305886131,0.4897174004174167
90–95%,492,0.9256910714501716,0.9227642276422764,0.6016260162601627,0.6519823788546255,0.47703445520040477,0.6219146912563113,0.6110857095727275
95–100%,484,0.9728879087557164,0.9628099173553719,0.731404958677686,0.759656652360515,0.6274972828955829,0.7611477376681174,0.7557868776095065
